Winners,W/L Percentage,Home W/L
Anaheim Ducks,36.59,39.02
Boston Bruins,34.15,39.02
Buffalo Sabres,25.61,26.83
Calgary Flames,23.17,31.71
Carolina Hurricanes,23.17,21.95
Chicago Blackhawks,43.9,43.9
Colorado Avalanche,19.51,29.27
Columbus Blue Jackets,29.27,34.15
Dallas Stars,26.83,26.83
Detroit Red Wings,29.27,31.71
Edmonton Oilers,23.17,21.95
Florida Panthers,18.29,19.51
Los Angeles Kings,32.93,46.34
Minnesota Wild,31.71,34.15
Montreal Canadiens,35.37,34.15
Nashville Predators,19.51,26.83
New Jersey Devils,23.17,31.71
New York Islanders,29.27,24.39
New York Rangers,31.71,39.02
Ottawa Senators,30.49,36.59
Philadelphia Flyers,28.05,36.59
Phoenix Coyotes,25.61,34.15
Pittsburgh Penguins,43.9,43.9
San Jose Sharks,30.49,41.46
St. Louis Blues,35.37,36.59
Tampa Bay Lightning,21.95,29.27
Toronto Maple Leafs,31.71,31.71
Vancouver Canucks,31.71,36.59
Washington Capitals,32.93,36.59
Winnipeg Jets,29.27,31.71
