Winners,W/L Percentage,Home W/L
Anaheim Ducks,65.85,70.73
Boston Bruins,65.85,75.61
Buffalo Sabres,25.61,31.71
Calgary Flames,42.68,46.34
Carolina Hurricanes,43.9,43.9
Chicago Blackhawks,56.1,65.85
Colorado Avalanche,63.41,63.41
Columbus Blue Jackets,52.44,53.66
Dallas Stars,48.78,56.1
Detroit Red Wings,47.56,43.9
Edmonton Oilers,35.37,39.02
Florida Panthers,35.37,39.02
Los Angeles Kings,56.1,56.1
Minnesota Wild,52.44,63.41
Montreal Canadiens,56.1,56.1
Nashville Predators,46.34,46.34
New Jersey Devils,42.68,51.22
New York Islanders,41.46,31.71
New York Rangers,54.88,48.78
Ottawa Senators,45.12,43.9
Philadelphia Flyers,51.22,58.54
Phoenix Coyotes,45.12,53.66
Pittsburgh Penguins,62.2,68.29
San Jose Sharks,62.2,70.73
St. Louis Blues,63.41,68.29
Tampa Bay Lightning,56.1,60.98
Toronto Maple Leafs,46.34,58.54
Vancouver Canucks,43.9,48.78
Washington Capitals,46.34,51.22
Winnipeg Jets,45.12,43.9
