Winners,W/L Percentage,Home W/L
Anaheim Ducks,62.2,63.41
Arizona Coyotes,29.27,26.83
Boston Bruins,50.0,58.54
Buffalo Sabres,28.05,34.15
Calgary Flames,54.88,56.1
Carolina Hurricanes,36.59,43.9
Chicago Blackhawks,58.54,58.54
Colorado Avalanche,47.56,56.1
Columbus Blue Jackets,51.22,46.34
Dallas Stars,50.0,41.46
Detroit Red Wings,52.44,53.66
Edmonton Oilers,29.27,36.59
Florida Panthers,46.34,51.22
Los Angeles Kings,48.78,60.98
Minnesota Wild,56.1,53.66
Montreal Canadiens,60.98,63.41
Nashville Predators,57.32,68.29
New Jersey Devils,39.02,46.34
New York Islanders,57.32,60.98
New York Rangers,64.63,60.98
Ottawa Senators,52.44,56.1
Philadelphia Flyers,40.24,56.1
Pittsburgh Penguins,52.44,56.1
San Jose Sharks,48.78,46.34
St. Louis Blues,62.2,65.85
Tampa Bay Lightning,60.98,78.05
Toronto Maple Leafs,36.59,53.66
Vancouver Canucks,58.54,58.54
Washington Capitals,54.88,56.1
Winnipeg Jets,52.44,56.1
