Winners,W/L Percentage,Home W/L
Anaheim Ducks,41.46,51.22
Boston Bruins,59.76,58.54
Buffalo Sabres,47.56,51.22
Calgary Flames,45.12,56.1
Carolina Hurricanes,40.24,48.78
Chicago Blackhawks,54.88,65.85
Colorado Avalanche,50.0,53.66
Columbus Blue Jackets,35.37,41.46
Dallas Stars,51.22,53.66
Detroit Red Wings,58.54,75.61
Edmonton Oilers,39.02,43.9
Florida Panthers,46.34,51.22
Los Angeles Kings,48.78,53.66
Minnesota Wild,42.68,48.78
Montreal Canadiens,37.8,39.02
Nashville Predators,58.54,63.41
New Jersey Devils,58.54,58.54
New York Islanders,41.46,41.46
New York Rangers,62.2,65.85
Ottawa Senators,50.0,48.78
Philadelphia Flyers,57.32,53.66
Phoenix Coyotes,51.22,53.66
Pittsburgh Penguins,62.2,70.73
San Jose Sharks,52.44,63.41
St. Louis Blues,59.76,73.17
Tampa Bay Lightning,46.34,60.98
Toronto Maple Leafs,42.68,43.9
Vancouver Canucks,62.2,65.85
Washington Capitals,51.22,63.41
Winnipeg Jets,45.12,56.1
