Winners,W/L Percentage,Home W/L
Anaheim Ducks,57.32,68.29
Atlanta Thrashers,41.46,46.34
Boston Bruins,50.0,51.22
Buffalo Sabres,47.56,48.78
Calgary Flames,51.22,51.22
Carolina Hurricanes,52.44,58.54
Chicago Blackhawks,48.78,56.1
Colorado Avalanche,53.66,65.85
Columbus Blue Jackets,41.46,48.78
Dallas Stars,54.88,56.1
Detroit Red Wings,65.85,70.73
Edmonton Oilers,50.0,56.1
Florida Panthers,46.34,43.9
Los Angeles Kings,39.02,41.46
Minnesota Wild,53.66,60.98
Montreal Canadiens,57.32,53.66
Nashville Predators,50.0,56.1
New Jersey Devils,56.1,60.98
New York Islanders,42.68,43.9
New York Rangers,51.22,60.98
Ottawa Senators,52.44,53.66
Philadelphia Flyers,51.22,51.22
Phoenix Coyotes,46.34,41.46
Pittsburgh Penguins,57.32,63.41
San Jose Sharks,59.76,53.66
St. Louis Blues,40.24,48.78
Tampa Bay Lightning,37.8,48.78
Toronto Maple Leafs,43.9,43.9
Vancouver Canucks,47.56,51.22
Washington Capitals,52.44,56.1
