Winners,W/L Percentage,Home W/L
Anaheim Ducks,47.56,60.98
Atlanta Thrashers,42.68,46.34
Boston Bruins,47.56,43.9
Buffalo Sabres,54.88,60.98
Calgary Flames,48.78,48.78
Carolina Hurricanes,42.68,51.22
Chicago Blackhawks,63.41,70.73
Colorado Avalanche,52.44,58.54
Columbus Blue Jackets,39.02,48.78
Dallas Stars,45.12,56.1
Detroit Red Wings,53.66,60.98
Edmonton Oilers,32.93,43.9
Florida Panthers,39.02,39.02
Los Angeles Kings,56.1,53.66
Minnesota Wild,46.34,60.98
Montreal Canadiens,47.56,48.78
Nashville Predators,57.32,58.54
New Jersey Devils,58.54,65.85
New York Islanders,41.46,56.1
New York Rangers,46.34,43.9
Ottawa Senators,53.66,63.41
Philadelphia Flyers,50.0,58.54
Phoenix Coyotes,60.98,70.73
Pittsburgh Penguins,57.32,60.98
San Jose Sharks,62.2,65.85
St. Louis Blues,48.78,43.9
Tampa Bay Lightning,41.46,51.22
Toronto Maple Leafs,36.59,43.9
Vancouver Canucks,59.76,73.17
Washington Capitals,65.85,73.17
