,season,Var.4,Visitor/Neutral,PTS,Home/Neutral,PTS.1,playoffs
46568,2007,Box Score,Orlando Magic,109,Minnesota Timberwolves,98,0
46569,2007,Box Score,Memphis Grizzlies,87,Phoenix Suns,96,0
46570,2007,Box Score,New York Knicks,92,San Antonio Spurs,100,0
46571,2007,Box Score,Denver Nuggets,108,Charlotte Bobcats,101,0
46572,2007,Box Score,New Orleans/Oklahoma City Hornets,76,Los Angeles Clippers,92,0
46573,2007,Box Score,Memphis Grizzlies,81,Los Angeles Lakers,91,0
46574,2007,Box Score,Houston Rockets,94,Miami Heat,72,0
46575,2007,Box Score,Dallas Mavericks,103,Portland Trail Blazers,96,0
46576,2007,Box Score,Toronto Raptors,92,Sacramento Kings,107,0
46577,2007,Box Score,New Jersey Nets,105,Washington Wizards,93,0
46578,2007,Box Score,Orlando Magic,92,Boston Celtics,89,0
46579,2007,Box Score,Seattle SuperSonics,119,New Jersey Nets,113,0
46580,2007,Box Score,Cleveland Cavaliers,102,New York Knicks,96,0
46581,2007,Box Score,Milwaukee Bucks,103,Atlanta Hawks,101,0
46582,2007,Box Score,Chicago Bulls,99,Dallas Mavericks,111,0
46583,2007,Box Score,Toronto Raptors,99,Golden State Warriors,110,0
46584,2007,Box Score,San Antonio Spurs,92,Houston Rockets,84,0
46585,2007,Box Score,Denver Nuggets,112,Miami Heat,105,0
46586,2007,Box Score,Portland Trail Blazers,89,Minnesota Timberwolves,101,0
46587,2007,Box Score,Charlotte Bobcats,85,New Orleans/Oklahoma City Hornets,94,0
46588,2007,Box Score,Los Angeles Clippers,90,Utah Jazz,112,0
46589,2007,Box Score,Indiana Pacers,88,Boston Celtics,114,0
46590,2007,Box Score,Portland Trail Blazers,87,Cleveland Cavaliers,100,0
46591,2007,Box Score,New Orleans/Oklahoma City Hornets,100,Detroit Pistons,99,0
46592,2007,Box Score,Milwaukee Bucks,87,New Jersey Nets,100,0
46593,2007,Box Score,Washington Wizards,82,New York Knicks,102,0
46594,2007,Box Score,Denver Nuggets,99,Orlando Magic,108,0
46595,2007,Box Score,Memphis Grizzlies,111,Sacramento Kings,115,0
46596,2007,Box Score,Charlotte Bobcats,95,San Antonio Spurs,92,0
46597,2007,Box Score,Philadelphia 76ers,96,Seattle SuperSonics,90,0
46598,2007,Box Score,Sacramento Kings,105,Golden State Warriors,117,0
46599,2007,Box Score,Chicago Bulls,100,Houston Rockets,101,0
46600,2007,Box Score,Portland Trail Blazers,90,Boston Celtics,118,0
46601,2007,Box Score,Minnesota Timberwolves,76,Cleveland Cavaliers,92,0
46602,2007,Box Score,Washington Wizards,91,Detroit Pistons,100,0
46603,2007,Box Score,New Jersey Nets,100,Indiana Pacers,91,0
46604,2007,Box Score,Toronto Raptors,100,Los Angeles Lakers,107,0
46605,2007,Box Score,Dallas Mavericks,115,Memphis Grizzlies,103,0
46606,2007,Box Score,New York Knicks,100,Miami Heat,76,0
46607,2007,Box Score,Philadelphia 76ers,94,Phoenix Suns,106,0
46608,2007,Box Score,Chicago Bulls,83,San Antonio Spurs,100,0
46609,2007,Box Score,Utah Jazz,118,Seattle SuperSonics,109,0
46610,2007,Box Score,Miami Heat,93,Atlanta Hawks,88,0
46611,2007,Box Score,Memphis Grizzlies,84,Dallas Mavericks,89,0
46612,2007,Box Score,Toronto Raptors,109,Denver Nuggets,117,0
46613,2007,Box Score,Houston Rockets,92,Detroit Pistons,104,0
46614,2007,Box Score,Seattle SuperSonics,95,Golden State Warriors,107,0
46615,2007,Box Score,Philadelphia 76ers,97,Los Angeles Clippers,103,0
46616,2007,Box Score,Indiana Pacers,102,Milwaukee Bucks,100,0
46617,2007,Box Score,New Orleans/Oklahoma City Hornets,99,Minnesota Timberwolves,96,0
46618,2007,Box Score,Portland Trail Blazers,86,New Jersey Nets,68,0
46619,2007,Box Score,Boston Celtics,122,New York Knicks,118,0
46620,2007,Box Score,Charlotte Bobcats,83,Orlando Magic,97,0
46621,2007,Box Score,Phoenix Suns,117,Utah Jazz,120,0
46622,2007,Box Score,Cleveland Cavaliers,99,Washington Wizards,111,0
46623,2007,Box Score,Chicago Bulls,72,Los Angeles Lakers,82,0
46624,2007,Box Score,San Antonio Spurs,108,Sacramento Kings,99,0
46625,2007,Box Score,Dallas Mavericks,93,Charlotte Bobcats,85,0
46626,2007,Box Score,Phoenix Suns,113,Golden State Warriors,110,0
46627,2007,Box Score,Orlando Magic,86,Memphis Grizzlies,95,0
46628,2007,Box Score,Houston Rockets,97,New York Knicks,90,0
46629,2007,Box Score,San Antonio Spurs,107,Portland Trail Blazers,98,0
46630,2007,Box Score,New Jersey Nets,87,Seattle SuperSonics,99,0
46631,2007,Box Score,Toronto Raptors,96,Utah Jazz,101,0
46632,2007,Box Score,Memphis Grizzlies,94,Cleveland Cavaliers,97,0
46633,2007,Box Score,Washington Wizards,80,Dallas Mavericks,107,0
