,season,Var.4,Visitor/Neutral,PTS,Home/Neutral,PTS.1,playoffs
48853,2008,Box Score,Indiana Pacers,117,New Jersey Nets,124,0
48854,2008,Box Score,Miami Heat,96,New York Knicks,103,0
48855,2008,Box Score,Chicago Bulls,99,Philadelphia 76ers,121,0
48856,2008,Box Score,Memphis Grizzlies,106,Sacramento Kings,107,0
48857,2008,Box Score,Los Angeles Clippers,88,San Antonio Spurs,97,0
48858,2008,Box Score,Washington Wizards,104,Seattle SuperSonics,99,0
48859,2008,Box Score,Detroit Pistons,82,Toronto Raptors,89,0
48860,2008,Box Score,Dallas Mavericks,105,Denver Nuggets,118,0
48861,2008,Box Score,Miami Heat,69,Detroit Pistons,85,0
48862,2008,Box Score,Portland Trail Blazers,95,Golden State Warriors,111,0
48863,2008,Box Score,Chicago Bulls,103,Atlanta Hawks,106,0
48864,2008,Box Score,New Orleans Hornets,92,Boston Celtics,112,0
48865,2008,Box Score,New Jersey Nets,115,Indiana Pacers,123,0
48866,2008,Box Score,Memphis Grizzlies,114,Los Angeles Lakers,111,0
48867,2008,Box Score,Orlando Magic,103,Milwaukee Bucks,86,0
48868,2008,Box Score,Phoenix Suns,107,Philadelphia 76ers,93,0
48869,2008,Box Score,Washington Wizards,114,Sacramento Kings,108,0
48870,2008,Box Score,Minnesota Timberwolves,84,San Antonio Spurs,99,0
48871,2008,Box Score,Charlotte Bobcats,96,Seattle SuperSonics,93,0
48872,2008,Box Score,New York Knicks,95,Toronto Raptors,103,0
48873,2008,Box Score,Los Angeles Clippers,101,Utah Jazz,121,0
48874,2008,Box Score,Milwaukee Bucks,111,Chicago Bulls,114,0
48875,2008,Box Score,Golden State Warriors,112,Denver Nuggets,119,0
48876,2008,Box Score,Cleveland Cavaliers,71,Detroit Pistons,85,0
48877,2008,Box Score,Memphis Grizzlies,97,Los Angeles Clippers,110,0
48878,2008,Box Score,Phoenix Suns,110,New Jersey Nets,104,0
48879,2008,Box Score,Charlotte Bobcats,93,Portland Trail Blazers,85,0
48880,2008,Box Score,New York Knicks,109,Atlanta Hawks,114,0
48881,2008,Box Score,Miami Heat,62,Boston Celtics,88,0
48882,2008,Box Score,Philadelphia 76ers,88,Cleveland Cavaliers,91,0
48883,2008,Box Score,Dallas Mavericks,104,Golden State Warriors,114,0
48884,2008,Box Score,Washington Wizards,120,Los Angeles Lakers,126,0
48885,2008,Box Score,Utah Jazz,103,Minnesota Timberwolves,110,0
48886,2008,Box Score,Houston Rockets,88,San Antonio Spurs,109,0
48887,2008,Box Score,Sacramento Kings,120,Seattle SuperSonics,107,0
48888,2008,Box Score,New Orleans Hornets,118,Toronto Raptors,111,0
48889,2008,Box Score,Toronto Raptors,104,Charlotte Bobcats,100,0
48890,2008,Box Score,Miami Heat,85,Indiana Pacers,105,0
48891,2008,Box Score,Dallas Mavericks,93,Los Angeles Clippers,86,0
48892,2008,Box Score,Atlanta Hawks,116,Memphis Grizzlies,99,0
48893,2008,Box Score,Denver Nuggets,117,Phoenix Suns,132,0
48894,2008,Box Score,Washington Wizards,87,Utah Jazz,129,0
48895,2008,Box Score,Boston Celtics,106,Chicago Bulls,92,0
48896,2008,Box Score,Phoenix Suns,120,Denver Nuggets,126,0
48897,2008,Box Score,New York Knicks,115,Milwaukee Bucks,119,0
48898,2008,Box Score,Detroit Pistons,94,Minnesota Timberwolves,90,0
48899,2008,Box Score,Philadelphia 76ers,108,New Jersey Nets,99,0
48900,2008,Box Score,New Orleans Hornets,98,Orlando Magic,97,0
48901,2008,Box Score,Houston Rockets,98,Sacramento Kings,99,0
48902,2008,Box Score,Golden State Warriors,92,San Antonio Spurs,116,0
48903,2008,Box Score,Toronto Raptors,120,Atlanta Hawks,127,0
48904,2008,Box Score,Indiana Pacers,77,Boston Celtics,92,0
48905,2008,Box Score,Cleveland Cavaliers,118,Charlotte Bobcats,114,0
48906,2008,Box Score,Golden State Warriors,86,Dallas Mavericks,111,0
48907,2008,Box Score,Portland Trail Blazers,91,Los Angeles Lakers,104,0
48908,2008,Box Score,New York Knicks,114,Memphis Grizzlies,130,0
48909,2008,Box Score,New Orleans Hornets,106,Miami Heat,77,0
48910,2008,Box Score,Los Angeles Clippers,102,Seattle SuperSonics,84,0
48911,2008,Box Score,Minnesota Timberwolves,100,Utah Jazz,117,0
48912,2008,Box Score,Milwaukee Bucks,110,Washington Wizards,109,0
48913,2008,Box Score,Chicago Bulls,101,Cleveland Cavaliers,98,0
48914,2008,Box Score,Houston Rockets,95,Portland Trail Blazers,86,0
48915,2008,Box Score,Los Angeles Clippers,98,Sacramento Kings,110,0
48916,2008,Box Score,Philadelphia 76ers,109,Atlanta Hawks,104,0
48917,2008,Box Score,New Jersey Nets,87,Detroit Pistons,106,0
48918,2008,Box Score,Dallas Mavericks,108,Los Angeles Lakers,112,0
48919,2008,Box Score,Golden State Warriors,117,Memphis Grizzlies,86,0
48920,2008,Box Score,Indiana Pacers,105,Milwaukee Bucks,101,0
48921,2008,Box Score,New York Knicks,110,New Orleans Hornets,118,0
48922,2008,Box Score,Minnesota Timberwolves,88,Phoenix Suns,117,0
48923,2008,Box Score,Houston Rockets,79,Seattle SuperSonics,66,0
48924,2008,Box Score,Charlotte Bobcats,105,Toronto Raptors,100,0
48925,2008,Box Score,San Antonio Spurs,64,Utah Jazz,90,0
48926,2008,Box Score,Miami Heat,95,Washington Wizards,109,0
48927,2008,Box Score,Boston Celtics,101,Charlotte Bobcats,78,0
48928,2008,Box Score,Washington Wizards,99,Chicago Bulls,87,0
48929,2008,Box Score,Orlando Magic,101,Cleveland Cavaliers,86,0
48930,2008,Box Score,Sacramento Kings,118,Denver Nuggets,115,0
48931,2008,Box Score,Toronto Raptors,90,New Jersey Nets,99,0
48932,2008,Box Score,Atlanta Hawks,92,Philadelphia 76ers,85,0
48933,2008,Box Score,Milwaukee Bucks,97,Indiana Pacers,105,0
48934,2008,Box Score,Houston Rockets,105,Los Angeles Clippers,79,0
48935,2008,Box Score,Detroit Pistons,91,Miami Heat,75,0
48936,2008,Box Score,Memphis Grizzlies,113,Minnesota Timberwolves,101,0
48937,2008,Box Score,Golden State Warriors,96,New Orleans Hornets,108,0
48938,2008,Box Score,Orlando Magic,90,New York Knicks,100,0
48939,2008,Box Score,Dallas Mavericks,105,Phoenix Suns,98,0
48940,2008,Box Score,San Antonio Spurs,72,Portland Trail Blazers,65,0
48941,2008,Box Score,Los Angeles Lakers,114,Sacramento Kings,92,0
48942,2008,Box Score,Denver Nuggets,147,Seattle SuperSonics,151,0
48943,2008,Box Score,Minnesota Timberwolves,119,Charlotte Bobcats,121,0
48944,2008,Box Score,Seattle SuperSonics,83,Dallas Mavericks,99,0
48945,2008,Box Score,New York Knicks,98,Detroit Pistons,94,0
48946,2008,Box Score,Sacramento Kings,132,Golden State Warriors,140,0
48947,2008,Box Score,Atlanta Hawks,98,Indiana Pacers,112,0
48948,2008,Box Score,Denver Nuggets,117,Los Angeles Clippers,99,0
48949,2008,Box Score,Phoenix Suns,127,Memphis Grizzlies,113,0
48950,2008,Box Score,Chicago Bulls,88,Miami Heat,95,0
48951,2008,Box Score,Boston Celtics,107,Milwaukee Bucks,104,0
48952,2008,Box Score,Utah Jazz,77,New Orleans Hornets,66,0
48953,2008,Box Score,Los Angeles Lakers,103,Portland Trail Blazers,112,0
48954,2008,Box Score,New Jersey Nets,83,Cleveland Cavaliers,104,0
48955,2008,Box Score,Seattle SuperSonics,80,Houston Rockets,103,0
48956,2008,Box Score,New Orleans Hornets,122,Minnesota Timberwolves,90,0
48957,2008,Box Score,Charlotte Bobcats,107,New York Knicks,109,0
48958,2008,Box Score,Chicago Bulls,83,Orlando Magic,115,0
48959,2008,Box Score,Detroit Pistons,94,Philadelphia 76ers,101,0
48960,2008,Box Score,Phoenix Suns,96,San Antonio Spurs,79,0
48961,2008,Box Score,Milwaukee Bucks,93,Toronto Raptors,111,0
48962,2008,Box Score,Boston Celtics,95,Washington Wizards,109,0
48963,2008,Box Score,Utah Jazz,94,Dallas Mavericks,97,0
48964,2008,Box Score,Denver Nuggets,114,Golden State Warriors,105,0
48965,2008,Box Score,Los Angeles Lakers,106,Los Angeles Clippers,78,0
48966,2008,Box Score,Milwaukee Bucks,86,Boston Celtics,102,0
48967,2008,Box Score,Cleveland Cavaliers,95,Chicago Bulls,100,0
48968,2008,Box Score,Washington Wizards,74,Detroit Pistons,102,0
48969,2008,Box Score,Phoenix Suns,90,Houston Rockets,101,0
48970,2008,Box Score,New Orleans Hornets,104,Los Angeles Lakers,107,0
48971,2008,Box Score,Memphis Grizzlies,96,Miami Heat,91,0
48972,2008,Box Score,Atlanta Hawks,116,New York Knicks,104,0
48973,2008,Box Score,Minnesota Timberwolves,102,Orlando Magic,101,0
48974,2008,Box Score,Indiana Pacers,85,Philadelphia 76ers,76,0
48975,2008,Box Score,Portland Trail Blazers,86,Sacramento Kings,103,0
48976,2008,Box Score,Seattle SuperSonics,74,San Antonio Spurs,95,0
48977,2008,Box Score,New Jersey Nets,85,Toronto Raptors,113,0
48978,2008,Box Score,Boston Celtics,99,Atlanta Hawks,89,0
48979,2008,Box Score,Los Angeles Clippers,116,Golden State Warriors,122,0
48980,2008,Box Score,Charlotte Bobcats,107,Indiana Pacers,103,0
48981,2008,Box Score,Minnesota Timberwolves,114,Memphis Grizzlies,105,0
48982,2008,Box Score,New Jersey Nets,111,Milwaukee Bucks,98,0
48983,2008,Box Score,Dallas Mavericks,105,Portland Trail Blazers,108,0
48984,2008,Box Score,New Orleans Hornets,91,Sacramento Kings,94,0
48985,2008,Box Score,Denver Nuggets,97,Utah Jazz,124,0
48986,2008,Box Score,Philadelphia 76ers,93,Washington Wizards,109,0
48987,2008,Box Score,Orlando Magic,104,Chicago Bulls,84,0
48988,2008,Box Score,Miami Heat,76,Cleveland Cavaliers,84,0
48989,2008,Box Score,Houston Rockets,94,Denver Nuggets,111,0
48990,2008,Box Score,Toronto Raptors,84,Detroit Pistons,91,0
48991,2008,Box Score,San Antonio Spurs,85,Los Angeles Lakers,106,0
48992,2008,Box Score,Dallas Mavericks,95,Seattle SuperSonics,99,0
48993,2008,Box Score,Chicago Bulls,151,Milwaukee Bucks,135,0
48994,2008,Box Score,Boston Celtics,99,New York Knicks,93,0
48995,2008,Box Score,Cleveland Cavaliers,91,Philadelphia 76ers,90,0
48996,2008,Box Score,Golden State Warriors,116,Phoenix Suns,122,0
48997,2008,Box Score,San Antonio Spurs,101,Sacramento Kings,98,0
48998,2008,Box Score,Miami Heat,75,Toronto Raptors,91,0
48999,2008,Box Score,Houston Rockets,96,Utah Jazz,105,0
49000,2008,Box Score,Indiana Pacers,110,Washington Wizards,117,0
49001,2008,Box Score,Orlando Magic,121,Atlanta Hawks,105,0
49002,2008,Box Score,Minnesota Timberwolves,103,Detroit Pistons,115,0
49003,2008,Box Score,Sacramento Kings,101,Los Angeles Lakers,124,0
49004,2008,Box Score,Charlotte Bobcats,108,New Jersey Nets,112,0
49005,2008,Box Score,Los Angeles Clippers,92,New Orleans Hornets,114,0
49006,2008,Box Score,Memphis Grizzlies,91,Portland Trail Blazers,113,0
49007,2008,Box Score,New Jersey Nets,94,Boston Celtics,105,0
49008,2008,Box Score,Philadelphia 76ers,109,Charlotte Bobcats,115,0
49009,2008,Box Score,Toronto Raptors,97,Chicago Bulls,107,0
49010,2008,Box Score,Detroit Pistons,84,Cleveland Cavaliers,74,0
49011,2008,Box Score,New Orleans Hornets,98,Dallas Mavericks,111,0
49012,2008,Box Score,Memphis Grizzlies,111,Denver Nuggets,120,0
49013,2008,Box Score,Seattle SuperSonics,126,Golden State Warriors,121,0
49014,2008,Box Score,Los Angeles Clippers,75,Houston Rockets,93,0
49015,2008,Box Score,New York Knicks,123,Indiana Pacers,132,0
49016,2008,Box Score,Atlanta Hawks,99,Miami Heat,113,0
49017,2008,Box Score,Milwaukee Bucks,101,Minnesota Timberwolves,110,0
49018,2008,Box Score,Washington Wizards,83,Orlando Magic,103,0
49019,2008,Box Score,Portland Trail Blazers,91,Phoenix Suns,100,0
49020,2008,Box Score,Utah Jazz,80,San Antonio Spurs,109,0
49021,2008,Box Score,Washington Wizards,86,Cleveland Cavaliers,93,1
49022,2008,Box Score,Utah Jazz,93,Houston Rockets,82,1
49023,2008,Box Score,Dallas Mavericks,92,New Orleans Hornets,104,1
49024,2008,Box Score,Phoenix Suns,115,San Antonio Spurs,117,1
49025,2008,Box Score,Atlanta Hawks,81,Boston Celtics,104,1
49026,2008,Box Score,Philadelphia 76ers,90,Detroit Pistons,86,1
49027,2008,Box Score,Denver Nuggets,114,Los Angeles Lakers,128,1
49028,2008,Box Score,Toronto Raptors,100,Orlando Magic,114,1
49029,2008,Box Score,Washington Wizards,86,Cleveland Cavaliers,116,1
49030,2008,Box Score,Utah Jazz,90,Houston Rockets,84,1
49031,2008,Box Score,Dallas Mavericks,103,New Orleans Hornets,127,1
49032,2008,Box Score,Toronto Raptors,103,Orlando Magic,104,1
49033,2008,Box Score,Phoenix Suns,96,San Antonio Spurs,102,1
49034,2008,Box Score,Atlanta Hawks,77,Boston Celtics,96,1
49035,2008,Box Score,Philadelphia 76ers,88,Detroit Pistons,105,1
49036,2008,Box Score,Denver Nuggets,107,Los Angeles Lakers,122,1
49037,2008,Box Score,Orlando Magic,94,Toronto Raptors,108,1
49038,2008,Box Score,Houston Rockets,94,Utah Jazz,92,1
49039,2008,Box Score,Cleveland Cavaliers,72,Washington Wizards,108,1
49040,2008,Box Score,New Orleans Hornets,87,Dallas Mavericks,97,1
49041,2008,Box Score,Detroit Pistons,75,Philadelphia 76ers,95,1
49042,2008,Box Score,San Antonio Spurs,115,Phoenix Suns,99,1
49043,2008,Box Score,Boston Celtics,93,Atlanta Hawks,102,1
49044,2008,Box Score,Los Angeles Lakers,102,Denver Nuggets,84,1
49045,2008,Box Score,Orlando Magic,106,Toronto Raptors,94,1
49046,2008,Box Score,Houston Rockets,82,Utah Jazz,86,1
49047,2008,Box Score,New Orleans Hornets,97,Dallas Mavericks,84,1
49048,2008,Box Score,Detroit Pistons,93,Philadelphia 76ers,84,1
49049,2008,Box Score,San Antonio Spurs,86,Phoenix Suns,105,1
49050,2008,Box Score,Cleveland Cavaliers,100,Washington Wizards,97,1
49051,2008,Box Score,Boston Celtics,92,Atlanta Hawks,97,1
49052,2008,Box Score,Los Angeles Lakers,107,Denver Nuggets,101,1
49053,2008,Box Score,Toronto Raptors,92,Orlando Magic,102,1
49054,2008,Box Score,Philadelphia 76ers,81,Detroit Pistons,98,1
49055,2008,Box Score,Utah Jazz,69,Houston Rockets,95,1
49056,2008,Box Score,Dallas Mavericks,94,New Orleans Hornets,99,1
49057,2008,Box Score,Phoenix Suns,87,San Antonio Spurs,92,1
49058,2008,Box Score,Atlanta Hawks,85,Boston Celtics,110,1
49059,2008,Box Score,Washington Wizards,88,Cleveland Cavaliers,87,1
49060,2008,Box Score,Detroit Pistons,100,Philadelphia 76ers,77,1
49061,2008,Box Score,Boston Celtics,100,Atlanta Hawks,103,1
49062,2008,Box Score,Houston Rockets,91,Utah Jazz,113,1
49063,2008,Box Score,Cleveland Cavaliers,105,Washington Wizards,88,1
49064,2008,Box Score,Orlando Magic,72,Detroit Pistons,91,1
49065,2008,Box Score,San Antonio Spurs,82,New Orleans Hornets,101,1
49066,2008,Box Score,Atlanta Hawks,65,Boston Celtics,99,1
49067,2008,Box Score,Utah Jazz,98,Los Angeles Lakers,109,1
49068,2008,Box Score,Orlando Magic,93,Detroit Pistons,100,1
49069,2008,Box Score,San Antonio Spurs,84,New Orleans Hornets,102,1
49070,2008,Box Score,Cleveland Cavaliers,72,Boston Celtics,76,1
49071,2008,Box Score,Utah Jazz,110,Los Angeles Lakers,120,1
49072,2008,Box Score,Detroit Pistons,86,Orlando Magic,111,1
49073,2008,Box Score,Cleveland Cavaliers,73,Boston Celtics,89,1
49074,2008,Box Score,New Orleans Hornets,99,San Antonio Spurs,110,1
49075,2008,Box Score,Los Angeles Lakers,99,Utah Jazz,104,1
49076,2008,Box Score,Boston Celtics,84,Cleveland Cavaliers,108,1
49077,2008,Box Score,Detroit Pistons,90,Orlando Magic,89,1
49078,2008,Box Score,New Orleans Hornets,80,San Antonio Spurs,100,1
49079,2008,Box Score,Los Angeles Lakers,115,Utah Jazz,123,1
49080,2008,Box Score,Boston Celtics,77,Cleveland Cavaliers,88,1
49081,2008,Box Score,Orlando Magic,86,Detroit Pistons,91,1
49082,2008,Box Score,San Antonio Spurs,79,New Orleans Hornets,101,1
49083,2008,Box Score,Cleveland Cavaliers,89,Boston Celtics,96,1
49084,2008,Box Score,Utah Jazz,104,Los Angeles Lakers,111,1
49085,2008,Box Score,New Orleans Hornets,80,San Antonio Spurs,99,1
49086,2008,Box Score,Boston Celtics,69,Cleveland Cavaliers,74,1
49087,2008,Box Score,Los Angeles Lakers,108,Utah Jazz,105,1
49088,2008,Box Score,Cleveland Cavaliers,92,Boston Celtics,97,1
49089,2008,Box Score,San Antonio Spurs,91,New Orleans Hornets,82,1
49090,2008,Box Score,Detroit Pistons,79,Boston Celtics,88,1
49091,2008,Box Score,San Antonio Spurs,85,Los Angeles Lakers,89,1
49092,2008,Box Score,Detroit Pistons,103,Boston Celtics,97,1
49093,2008,Box Score,San Antonio Spurs,71,Los Angeles Lakers,101,1
49094,2008,Box Score,Boston Celtics,94,Detroit Pistons,80,1
49095,2008,Box Score,Los Angeles Lakers,84,San Antonio Spurs,103,1
49096,2008,Box Score,Boston Celtics,75,Detroit Pistons,94,1
49097,2008,Box Score,Los Angeles Lakers,93,San Antonio Spurs,91,1
49098,2008,Box Score,Detroit Pistons,102,Boston Celtics,106,1
49099,2008,Box Score,San Antonio Spurs,92,Los Angeles Lakers,100,1
49100,2008,Box Score,Boston Celtics,89,Detroit Pistons,81,1
49101,2008,Box Score,Los Angeles Lakers,88,Boston Celtics,98,1
49102,2008,Box Score,Los Angeles Lakers,102,Boston Celtics,108,1
49103,2008,Box Score,Boston Celtics,81,Los Angeles Lakers,87,1
49104,2008,Box Score,Boston Celtics,97,Los Angeles Lakers,91,1
49105,2008,Box Score,Boston Celtics,98,Los Angeles Lakers,103,1
49106,2008,Box Score,Los Angeles Lakers,92,Boston Celtics,131,1
49107,2009,Box Score,Cleveland Cavaliers,85,Boston Celtics,90,0
49108,2009,Box Score,Milwaukee Bucks,95,Chicago Bulls,108,0
49109,2009,Box Score,Portland Trail Blazers,76,Los Angeles Lakers,96,0
49110,2009,Box Score,Indiana Pacers,94,Detroit Pistons,100,0
49111,2009,Box Score,New Orleans Hornets,108,Golden State Warriors,103,0
49112,2009,Box Score,Memphis Grizzlies,71,Houston Rockets,82,0
49113,2009,Box Score,Los Angeles Lakers,117,Los Angeles Clippers,79,0
49114,2009,Box Score,Sacramento Kings,96,Minnesota Timberwolves,98,0
49115,2009,Box Score,Miami Heat,115,New York Knicks,120,0
49116,2009,Box Score,Milwaukee Bucks,98,Oklahoma City Thunder,87,0
49117,2009,Box Score,Atlanta Hawks,99,Orlando Magic,85,0
49118,2009,Box Score,Toronto Raptors,95,Philadelphia 76ers,84,0
49119,2009,Box Score,Phoenix Suns,103,San Antonio Spurs,98,0
49120,2009,Box Score,Denver Nuggets,94,Utah Jazz,98,0
49121,2009,Box Score,New Jersey Nets,95,Washington Wizards,85,0
49122,2009,Box Score,Charlotte Bobcats,79,Cleveland Cavaliers,96,0
49123,2009,Box Score,Houston Rockets,112,Dallas Mavericks,102,0
49124,2009,Box Score,New Orleans Hornets,108,Phoenix Suns,95,0
49125,2009,Box Score,Chicago Bulls,80,Boston Celtics,96,0
49126,2009,Box Score,Denver Nuggets,113,Los Angeles Clippers,103,0
49127,2009,Box Score,Orlando Magic,84,Memphis Grizzlies,86,0
49128,2009,Box Score,Sacramento Kings,77,Miami Heat,103,0
49129,2009,Box Score,New York Knicks,87,Philadelphia 76ers,116,0
49130,2009,Box Score,San Antonio Spurs,99,Portland Trail Blazers,100,0
49131,2009,Box Score,Golden State Warriors,108,Toronto Raptors,112,0
49132,2009,Box Score,Philadelphia 76ers,88,Atlanta Hawks,95,0
49133,2009,Box Score,Miami Heat,87,Charlotte Bobcats,100,0
49134,2009,Box Score,Memphis Grizzlies,86,Chicago Bulls,96,0
49135,2009,Box Score,Los Angeles Lakers,104,Denver Nuggets,97,0
49136,2009,Box Score,Washington Wizards,109,Detroit Pistons,117,0
49137,2009,Box Score,Oklahoma City Thunder,77,Houston Rockets,89,0
49138,2009,Box Score,Boston Celtics,79,Indiana Pacers,95,0
49139,2009,Box Score,Toronto Raptors,91,Milwaukee Bucks,87,0
49140,2009,Box Score,Dallas Mavericks,95,Minnesota Timberwolves,85,0
49141,2009,Box Score,Golden State Warriors,105,New Jersey Nets,97,0
49142,2009,Box Score,Cleveland Cavaliers,92,New Orleans Hornets,104,0
49143,2009,Box Score,Sacramento Kings,103,Orlando Magic,121,0
49144,2009,Box Score,Portland Trail Blazers,96,Phoenix Suns,107,0
49145,2009,Box Score,Los Angeles Clippers,79,Utah Jazz,101,0
49146,2009,Box Score,Milwaukee Bucks,94,New York Knicks,86,0
49147,2009,Box Score,Minnesota Timberwolves,85,Oklahoma City Thunder,88,0
49148,2009,Box Score,Detroit Pistons,101,Charlotte Bobcats,83,0
49149,2009,Box Score,Cleveland Cavaliers,100,Dallas Mavericks,81,0
49150,2009,Box Score,Utah Jazz,89,Los Angeles Clippers,73,0
49151,2009,Box Score,Golden State Warriors,79,Memphis Grizzlies,90,0
49152,2009,Box Score,Chicago Bulls,93,Orlando Magic,96,0
49153,2009,Box Score,Sacramento Kings,91,Philadelphia 76ers,125,0
49154,2009,Box Score,Boston Celtics,103,Houston Rockets,99,0
49155,2009,Box Score,Phoenix Suns,114,New Jersey Nets,86,0
49156,2009,Box Score,Dallas Mavericks,98,San Antonio Spurs,81,0
49157,2009,Box Score,Chicago Bulls,93,Cleveland Cavaliers,107,0
49158,2009,Box Score,Denver Nuggets,101,Golden State Warriors,111,0
49159,2009,Box Score,Phoenix Suns,113,Indiana Pacers,103,0
49160,2009,Box Score,Los Angeles Clippers,88,Los Angeles Lakers,106,0
49161,2009,Box Score,Philadelphia 76ers,83,Miami Heat,106,0
49162,2009,Box Score,Washington Wizards,104,Milwaukee Bucks,112,0
49163,2009,Box Score,San Antonio Spurs,129,Minnesota Timberwolves,125,0
49164,2009,Box Score,Atlanta Hawks,87,New Orleans Hornets,79,0
49165,2009,Box Score,Charlotte Bobcats,98,New York Knicks,101,0
49166,2009,Box Score,Boston Celtics,96,Oklahoma City Thunder,83,0
49167,2009,Box Score,Memphis Grizzlies,95,Sacramento Kings,100,0
49168,2009,Box Score,Detroit Pistons,100,Toronto Raptors,93,0
49169,2009,Box Score,Portland Trail Blazers,96,Utah Jazz,103,0
49170,2009,Box Score,Philadelphia 76ers,88,Orlando Magic,98,0
49171,2009,Box Score,Houston Rockets,99,Portland Trail Blazers,101,0
49172,2009,Box Score,Toronto Raptors,92,Atlanta Hawks,110,0
49173,2009,Box Score,Milwaukee Bucks,89,Boston Celtics,101,0
49174,2009,Box Score,New Orleans Hornets,89,Charlotte Bobcats,92,0
49175,2009,Box Score,Phoenix Suns,83,Chicago Bulls,100,0
49176,2009,Box Score,Indiana Pacers,107,Cleveland Cavaliers,111,0
49177,2009,Box Score,Dallas Mavericks,105,Denver Nuggets,108,0
49178,2009,Box Score,Memphis Grizzlies,109,Golden State Warriors,104,0
49179,2009,Box Score,Houston Rockets,92,Los Angeles Clippers,83,0
49180,2009,Box Score,Detroit Pistons,96,New Jersey Nets,103,0
49181,2009,Box Score,Minnesota Timberwolves,109,Sacramento Kings,121,0
49182,2009,Box Score,Miami Heat,99,San Antonio Spurs,83,0
49183,2009,Box Score,Oklahoma City Thunder,97,Utah Jazz,104,0
49184,2009,Box Score,New York Knicks,114,Washington Wizards,108,0
49185,2009,Box Score,Cleveland Cavaliers,106,Chicago Bulls,97,0
49186,2009,Box Score,New Jersey Nets,80,Indiana Pacers,98,0
49187,2009,Box Score,Phoenix Suns,104,Milwaukee Bucks,96,0
49188,2009,Box Score,Miami Heat,89,New Orleans Hornets,100,0
49189,2009,Box Score,Washington Wizards,81,Orlando Magic,106,0
49190,2009,Box Score,Minnesota Timberwolves,93,Portland Trail Blazers,97,0
49191,2009,Box Score,Toronto Raptors,89,Charlotte Bobcats,79,0
49192,2009,Box Score,Memphis Grizzlies,90,Denver Nuggets,100,0
49193,2009,Box Score,Boston Celtics,88,Detroit Pistons,76,0
49194,2009,Box Score,Dallas Mavericks,92,Los Angeles Clippers,103,0
49195,2009,Box Score,Houston Rockets,82,Los Angeles Lakers,111,0
49196,2009,Box Score,Utah Jazz,99,New York Knicks,107,0
49197,2009,Box Score,Atlanta Hawks,89,Oklahoma City Thunder,85,0
49198,2009,Box Score,Golden State Warriors,98,Sacramento Kings,115,0
49199,2009,Box Score,Toronto Raptors,87,Boston Celtics,94,0
49200,2009,Box Score,Oklahoma City Thunder,99,Indiana Pacers,107,0
49201,2009,Box Score,New Jersey Nets,94,Miami Heat,99,0
49202,2009,Box Score,Portland Trail Blazers,106,Orlando Magic,99,0
49203,2009,Box Score,Memphis Grizzlies,102,Phoenix Suns,107,0
49204,2009,Box Score,Denver Nuggets,88,Charlotte Bobcats,80,0
49205,2009,Box Score,Atlanta Hawks,113,Chicago Bulls,108,0
49206,2009,Box Score,Milwaukee Bucks,93,Cleveland Cavaliers,99,0
49207,2009,Box Score,Los Angeles Lakers,106,Dallas Mavericks,99,0
49208,2009,Box Score,Minnesota Timberwolves,110,Golden State Warriors,113,0
49209,2009,Box Score,Utah Jazz,93,Philadelphia 76ers,80,0
49210,2009,Box Score,Detroit Pistons,100,Sacramento Kings,92,0
49211,2009,Box Score,New York Knicks,80,San Antonio Spurs,92,0
49212,2009,Box Score,Atlanta Hawks,102,Boston Celtics,103,0
49213,2009,Box Score,Sacramento Kings,103,Los Angeles Clippers,98,0
49214,2009,Box Score,New York Knicks,132,Memphis Grizzlies,103,0
49215,2009,Box Score,Portland Trail Blazers,104,Miami Heat,96,0
49216,2009,Box Score,San Antonio Spurs,78,Milwaukee Bucks,82,0
49217,2009,Box Score,Indiana Pacers,98,New Jersey Nets,87,0
49218,2009,Box Score,Los Angeles Lakers,93,New Orleans Hornets,86,0
49219,2009,Box Score,Orlando Magic,109,Oklahoma City Thunder,92,0
49220,2009,Box Score,Houston Rockets,94,Phoenix Suns,82,0
49221,2009,Box Score,Philadelphia 76ers,106,Toronto Raptors,96,0
49222,2009,Box Score,Utah Jazz,87,Washington Wizards,95,0
49223,2009,Box Score,Dallas Mavericks,91,Chicago Bulls,98,0
49224,2009,Box Score,Denver Nuggets,99,Cleveland Cavaliers,110,0
49225,2009,Box Score,Detroit Pistons,107,Golden State Warriors,102,0
49226,2009,Box Score,Denver Nuggets,94,Boston Celtics,85,0
49227,2009,Box Score,Utah Jazz,96,Charlotte Bobcats,104,0
49228,2009,Box Score,Orlando Magic,102,Dallas Mavericks,100,0
49229,2009,Box Score,Philadelphia 76ers,94,Indiana Pacers,92,0
49230,2009,Box Score,Detroit Pistons,106,Los Angeles Lakers,95,0
49231,2009,Box Score,Milwaukee Bucks,101,Memphis Grizzlies,96,0
49232,2009,Box Score,Washington Wizards,77,Miami Heat,97,0
49233,2009,Box Score,Atlanta Hawks,108,New Jersey Nets,115,0
49234,2009,Box Score,Portland Trail Blazers,82,New Orleans Hornets,87,0
49235,2009,Box Score,Oklahoma City Thunder,106,New York Knicks,116,0
49236,2009,Box Score,Phoenix Suns,97,Sacramento Kings,95,0
49237,2009,Box Score,Houston Rockets,75,San Antonio Spurs,77,0
49238,2009,Box Score,New Jersey Nets,119,Atlanta Hawks,107,0
