Winners,W/L Percentage,Home W/L
Atlanta Hawks,64.63,82.93
Boston Celtics,60.98,58.54
Charlotte Bobcats,53.66,75.61
Chicago Bulls,50.0,58.54
Cleveland Cavaliers,74.39,85.37
Dallas Mavericks,67.07,68.29
Denver Nuggets,64.63,82.93
Detroit Pistons,32.93,41.46
Golden State Warriors,31.71,43.9
Houston Rockets,51.22,56.1
Indiana Pacers,39.02,56.1
Los Angeles Clippers,35.37,51.22
Los Angeles Lakers,69.51,82.93
Memphis Grizzlies,48.78,56.1
Miami Heat,57.32,58.54
Milwaukee Bucks,56.1,68.29
Minnesota Timberwolves,18.29,24.39
New Jersey Nets,14.63,19.51
New Orleans Hornets,45.12,58.54
New York Knicks,35.37,43.9
Oklahoma City Thunder,60.98,65.85
Orlando Magic,71.95,82.93
Philadelphia 76ers,32.93,29.27
Phoenix Suns,65.85,78.05
Portland Trail Blazers,60.98,63.41
Sacramento Kings,30.49,43.9
San Antonio Spurs,60.98,70.73
Toronto Raptors,48.78,60.98
Utah Jazz,64.63,78.05
Washington Wizards,31.71,36.59
