Winners,W/L Percentage,Home W/L
Atlanta Hawks,53.66,60.98
Boston Celtics,50.0,65.85
Brooklyn Nets,59.76,63.41
Charlotte Bobcats,25.61,36.59
Chicago Bulls,54.88,58.54
Cleveland Cavaliers,29.27,34.15
Dallas Mavericks,50.0,58.54
Denver Nuggets,69.51,92.68
Detroit Pistons,35.37,43.9
Golden State Warriors,57.32,68.29
Houston Rockets,54.88,70.73
Indiana Pacers,59.76,73.17
Los Angeles Clippers,68.29,78.05
Los Angeles Lakers,54.88,70.73
Memphis Grizzlies,68.29,78.05
Miami Heat,80.49,90.24
Milwaukee Bucks,46.34,51.22
Minnesota Timberwolves,37.8,48.78
New Orleans Hornets,32.93,39.02
New York Knicks,65.85,75.61
Oklahoma City Thunder,73.17,82.93
Orlando Magic,24.39,29.27
Philadelphia 76ers,41.46,56.1
Phoenix Suns,30.49,41.46
Portland Trail Blazers,40.24,53.66
Sacramento Kings,34.15,48.78
San Antonio Spurs,70.73,85.37
Toronto Raptors,41.46,51.22
Utah Jazz,52.44,73.17
Washington Wizards,35.37,53.66
