Winners,W/L Percentage,Home W/L
Atlanta Hawks,53.66,58.54
Boston Celtics,68.29,80.49
Charlotte Bobcats,41.46,51.22
Chicago Bulls,75.61,87.8
Cleveland Cavaliers,23.17,29.27
Dallas Mavericks,69.51,70.73
Denver Nuggets,60.98,80.49
Detroit Pistons,36.59,51.22
Golden State Warriors,43.9,63.41
Houston Rockets,52.44,60.98
Indiana Pacers,45.12,58.54
Los Angeles Clippers,39.02,56.1
Los Angeles Lakers,69.51,73.17
Memphis Grizzlies,56.1,73.17
Miami Heat,70.73,73.17
Milwaukee Bucks,42.68,53.66
Minnesota Timberwolves,20.73,29.27
New Jersey Nets,29.27,46.34
New Orleans Hornets,56.1,68.29
New York Knicks,51.22,56.1
Oklahoma City Thunder,67.07,73.17
Orlando Magic,63.41,70.73
Philadelphia 76ers,50.0,63.41
Phoenix Suns,48.78,56.1
Portland Trail Blazers,58.54,73.17
Sacramento Kings,29.27,26.83
San Antonio Spurs,74.39,87.8
Toronto Raptors,26.83,39.02
Utah Jazz,47.56,51.22
Washington Wizards,28.05,48.78
