Winners,W/L Percentage,Home W/L
Atlanta Hawks,57.32,75.61
Boston Celtics,75.61,85.37
Charlotte Bobcats,42.68,56.1
Chicago Bulls,50.0,68.29
Cleveland Cavaliers,80.49,95.12
Dallas Mavericks,60.98,78.05
Denver Nuggets,65.85,80.49
Detroit Pistons,47.56,51.22
Golden State Warriors,35.37,51.22
Houston Rockets,64.63,80.49
Indiana Pacers,43.9,60.98
Los Angeles Clippers,23.17,26.83
Los Angeles Lakers,79.27,87.8
Memphis Grizzlies,29.27,39.02
Miami Heat,52.44,68.29
Milwaukee Bucks,41.46,53.66
Minnesota Timberwolves,29.27,26.83
New Jersey Nets,41.46,46.34
New Orleans Hornets,59.76,68.29
New York Knicks,39.02,48.78
Oklahoma City Thunder,28.05,36.59
Orlando Magic,71.95,78.05
Philadelphia 76ers,50.0,58.54
Phoenix Suns,56.1,68.29
Portland Trail Blazers,65.85,82.93
Sacramento Kings,20.73,26.83
San Antonio Spurs,65.85,68.29
Toronto Raptors,40.24,43.9
Utah Jazz,58.54,80.49
Washington Wizards,23.17,31.71
