Winners,W/L Percentage,Home W/L
Atlanta Hawks,48.78,56.1
Boston Celtics,47.56,58.54
Charlotte Bobcats,8.54,9.76
Chicago Bulls,60.98,63.41
Cleveland Cavaliers,25.61,26.83
Dallas Mavericks,43.9,56.1
Denver Nuggets,46.34,48.78
Detroit Pistons,30.49,43.9
Golden State Warriors,28.05,29.27
Houston Rockets,41.46,53.66
Indiana Pacers,51.22,56.1
Los Angeles Clippers,48.78,58.54
Los Angeles Lakers,50.0,63.41
Memphis Grizzlies,50.0,63.41
Miami Heat,56.1,68.29
Milwaukee Bucks,37.8,41.46
Minnesota Timberwolves,31.71,31.71
New Jersey Nets,26.83,21.95
New Orleans Hornets,25.61,26.83
New York Knicks,43.9,53.66
Oklahoma City Thunder,57.32,63.41
Orlando Magic,45.12,51.22
Philadelphia 76ers,42.68,46.34
Phoenix Suns,40.24,46.34
Portland Trail Blazers,34.15,48.78
Sacramento Kings,26.83,39.02
San Antonio Spurs,60.98,68.29
Toronto Raptors,28.05,31.71
Utah Jazz,43.9,60.98
Washington Wizards,24.39,26.83
